latitude	M_67	N_67	R_avg,67	R_G,67	M_80	N80	R_avg,80	R_G,80	
46	6368524.076	6389236.147	6378863.298	6378871.705	6368501.438	6389212.733	6378840.274	6378848.680	
47	6369642.703	6389610.213	6379610.834	6379618.646	6369620.023	6389586.786	6379587.781	6379595.593	
48	6370758.929	6389983.433	6380356.700	6380363.941	6370736.207	6389959.992	6380333.619	6380340.859	
49	6371871.391	6390355.351	6381099.986	6381106.679	6371848.628	6390331.896	6381076.877	6381083.570	
50	6372978.730	6390725.514	6381839.784	6381845.953	6372955.926	6390702.044	6381816.648	6381822.817	
51	6374079.592	6391093.468	6382575.192	6382580.861	6374056.746	6391069.985	6382552.028	6382557.697	
52	6375172.628	6391458.765	6383305.309	6383310.503	6375149.741	6391435.268	6383282.118	6383287.311	
53	6376256.500	6391820.958	6384029.242	6384033.986	6376233.573	6391797.448	6384006.024	6384010.767	
54	6377329.879	6392179.604	6384746.107	6384750.424	6377306.911	6392156.080	6384722.862	6384727.179	
55	6378391.447	6392534.265	6385455.025	6385458.940	6378368.440	6392510.727	6385431.753	6385435.668	
56	6379439.900	6392884.505	6386155.127	6386158.665	6379416.854	6392860.955	6386131.829	6386135.367	
57	6380473.951	6393229.896	6386845.554	6386848.739	6380450.866	6393206.333	6386822.231	6386825.415	
58	6381492.326	6393570.015	6387525.461	6387528.316	6381469.203	6393546.439	6387502.112	6387504.967	
59	6382493.772	6393904.445	6388194.013	6388196.561	6382470.611	6393880.856	6388170.639	6388173.186	
60	6383477.055	6394232.775	6388850.388	6388852.651	6383453.857	6394209.174	6388826.989	6388829.252	
61	6384440.962	6394554.602	6389493.780	6389495.781	6384417.728	6394530.989	6389470.357	6389472.358	
62	6385384.304	6394869.532	6390123.398	6390125.158	6385361.035	6394845.907	6390099.951	6390101.711	
63	6386305.915	6395177.178	6390738.468	6390740.007	6386282.612	6395153.541	6390714.998	6390716.537	
64	6387204.657	6395477.160	6391338.232	6391339.571	6387181.320	6395453.513	6391314.740	6391316.078	
65	6388079.419	6395769.112	6391921.953	6391923.109	6388056.049	6395745.453	6391898.439	6391899.595	
66	6388929.117	6396052.673	6392488.910	6392489.903	6388905.715	6396029.004	6392465.375	6392466.367	
67	6389752.699	6396327.495	6393038.406	6393039.252	6389729.266	6396303.815	6393014.850	6393015.696	
68	6390549.145	6396593.239	6393569.763	6393570.478	6390525.682	6396569.549	6393546.188	6393546.902	
69	6391317.467	6396849.578	6394082.326	6394082.924	6391293.976	6396825.879	6394058.731	6394059.329	
70	6392056.712	6397096.197	6394575.461	6394575.958	6392033.192	6397072.488	6394551.848	6394552.344	
71	6392765.961	6397332.791	6395048.561	6395048.968	6392742.415	6397309.074	6395024.929	6395025.337	
72	6393444.335	6397559.069	6395501.040	6395501.371	6393420.763	6397535.343	6395477.391	6395477.722	
73	6394090.989	6397774.752	6395932.340	6395932.605	6394067.393	6397751.018	6395908.675	6395908.940	
74	6394705.120	6397979.573	6396341.928	6396342.137	6394681.501	6397955.832	6396318.247	6396318.457	
75	6395285.963	6398173.281	6396729.296	6396729.459	6395262.323	6398149.532	6396705.602	6396705.765	
76	6395832.796	6398355.636	6397093.968	6397094.092	6395809.136	6398331.880	6397070.259	6397070.384	
77	6396344.938	6398526.413	6397435.490	6397435.583	6396321.258	6398502.651	6397411.769	6397411.861	
78	6396821.751	6398685.401	6397753.440	6397753.508	6396798.053	6398661.633	6397729.707	6397729.775	
79	6397262.640	6398832.403	6398047.425	6398047.474	6397238.926	6398808.629	6398023.681	6398023.729	
80	6397667.056	6398967.239	6398317.082	6398317.115	6397643.327	6398943.460	6398293.327	6398293.360	
81	6398034.495	6399089.741	6398562.074	6398562.096	6398010.751	6399065.958	6398538.311	6398538.333	
82	6398364.498	6399199.758	6398782.101	6398782.114	6398340.742	6399175.971	6398758.329	6398758.343	
83	6398656.653	6399297.154	6398976.888	6398976.896	6398632.886	6399273.363	6398953.109	6398953.117	
84	6398910.596	6399381.809	6399146.194	6399146.199	6398886.820	6399358.015	6399122.409	6399122.413	
85	6399126.010	6399453.619	6399289.810	6399289.812	6399102.226	6399429.822	6399266.019	6399266.022	
86	6399302.626	6399512.493	6399407.558	6399407.559	6399278.835	6399488.694	6399383.763	6399383.763	
87	6399440.223	6399558.360	6399499.291	6399499.291	6399416.427	6399534.559	6399475.492	6399475.493	
88	6399538.630	6399591.163	6399564.896	6399564.896	6399514.830	6399567.360	6399541.095	6399541.095	
89	6399597.723	6399610.860	6399604.292	6399604.292	6399573.921	6399587.057	6399580.489	6399580.489	
90	6399617.429	6399617.429	6399617.429	6399617.429	6399593.626	6399593.626	6399593.626	6399593.626	
